Name,Location,Price,Area,Rooms,Interior
Flat Theodora Eigemanpad,2625 DZ Delft (Reinier de Graafbuurt),"€1,619 per month",89 m²,3 rooms,
Flat Martinus Nijhofflaan,2624 MH Delft (Poptahof-Zuid),"€1,695 per month",76 m²,3 rooms,Upholstered
House Laan van Van der Gaag,2627 BS Delft (Delftzicht),"€2,400 per month",97 m²,4 rooms,Furnished
Flat Kromstraat,2611 ER Delft (Centrum),"€1,265 per month",70 m²,2 rooms,Upholstered
Flat Arthur van Schendelplein 173,2624 CX Delft (Voorhof-Hoogbouw),"€1,495 per month",94 m²,4 rooms,
Studio Derde Werelddreef,2622 HD Delft (Aziëbuurt),€979 per month,30 m²,1 room,Upholstered
Flat Delflandplein,2624 GD Delft (Roland Holstbuurt),€830 per month,28 m²,1 room,
Flat Aart van der Leeuwlaan 1010,2624 MA Delft (Aart van der Leeuwbuurt),"€2,295 per month",92 m²,3 rooms,Furnished
Flat Mercuriusweg 145,2624 BC Delft (Mythologiebuurt),"€1,450 per month",65 m²,2 rooms,
House Prof. Bosschastraat 35,2628 HL Delft (Wippolder-Zuid),"€2,575 per month",134 m²,6 rooms,Upholstered
Flat Oude Delft 128,2611 CG Delft (Centrum),"€2,000 per month",100 m²,2 rooms,Furnished
Flat C. Fockstraat,2613 DJ Delft (Ministersbuurt-Oost),"€2,750 per month",80 m²,4 rooms,Upholstered
Flat Arthur van Schendelplein 43,2624 CP Delft (Voorhof-Hoogbouw),"€1,495 per month",94 m²,4 rooms,
Flat Röntgenweg,2624 BE Delft (Mythologiebuurt),"€1,265 per month",74 m²,3 rooms,
House Trompetstraat,2611 KN Delft (Centrum-Oost),"€1,350 per month",70 m²,3 rooms,Furnished
Flat Arthur van Schendelplein 190,2624 CZ Delft (Voorhof-Hoogbouw),"€1,525 per month",94 m²,4 rooms,
Flat Delflandplein,2624 GD Delft (Roland Holstbuurt),"€1,048 per month",47 m²,2 rooms,
Flat Arthur van Schendelplein 184,2624 CZ Delft (Voorhof-Hoogbouw),"€1,595 per month",94 m²,4 rooms,Upholstered
Flat J.J. Slauerhofflaan,2624 JV Delft (Roland Holstbuurt),"€2,250 per month",116 m²,3 rooms,Upholstered or furnished
Flat Noordeinde,2611 KE Delft (Centrum-West),"€1,870 per month",65 m²,3 rooms,Furnished
Flat Noordeinde,2611 KE Delft (Centrum-West),"€1,470 per month",65 m²,3 rooms,Upholstered
House Yperstraat,2611 SH Delft (In de Veste),"€3,450 per month",114 m²,3 rooms,Furnished
House Lambrecht van Linschotenstraat 6,2614 JZ Delft (Marlot),"€2,700 per month",123 m²,5 rooms,Upholstered
Flat Koornmarkt 16 H,2611 EE Delft (Centrum),"€3,150 per month",62 m²,2 rooms,Upholstered or furnished
House Insulindeweg 268,2612 EN Delft (Indische Buurt-Zuid),"€2,150 per month",128 m²,4 rooms,Upholstered
House Donkerstraat 8,2611 TG Delft (Centrum-Zuidoost),"€1,550 per month",55 m²,1 room,
Flat Tweemolentjeskade,2612 XZ Delft (Bomenwijk),"€1,650 per month",63 m²,3 rooms,Upholstered
Flat Tweemolentjeskade,2612 XZ Delft (Bomenwijk),"€1,310 per month",42 m²,2 rooms,Upholstered
Flat Tweemolentjeskade,2612 XZ Delft (Bomenwijk),"€1,296 per month",39 m²,2 rooms,Upholstered
Flat Tweemolentjeskade,2612 XZ Delft (Bomenwijk),"€1,550 per month",59 m²,2 rooms,Upholstered
Flat Tweemolentjeskade,2612 XZ Delft (Bomenwijk),"€1,320 per month",43 m²,2 rooms,Upholstered
Flat Tweemolentjeskade,2612 XZ Delft (Bomenwijk),"€1,700 per month",65 m²,3 rooms,Upholstered
Flat Tweemolentjeskade,2612 XZ Delft (Bomenwijk),"€1,600 per month",61 m²,3 rooms,Upholstered
Flat Arthur van Schendelplein 87,2624 CS Delft (Voorhof-Hoogbouw),"€1,655 per month",94 m²,4 rooms,
House Noordeinde,2611 KH Delft (Centrum-West),"€3,400 per month",139 m²,4 rooms,Upholstered
Flat Noordeinde,2611 KE Delft (Centrum-West),"€2,145 per month",62 m²,2 rooms,Furnished
Flat Brabantse Turfmarkt 47 2,2611 CL Delft (Centrum),€933 per month,25 m²,1 room,
Flat Brabantse Turfmarkt 47 1,2611 CL Delft (Centrum),"€2,800 per month",75 m²,3 rooms,
Flat Noordeinde 28 1,2611 KJ Delft (Centrum-West),"€1,700 per month",43 m²,1 room,
Flat Noordeinde 28 2,2611 KJ Delft (Centrum-West),"€1,700 per month",43 m²,1 room,
Flat Brabantse Turfmarkt,2611 CP Delft (Centrum),"€1,600 per month",40 m²,3 rooms,Upholstered or furnished
Flat Koornmarkt 16,2611 EE Delft (Centrum),"€2,150 per month",55 m²,1 room,Furnished
Flat Molstraat 33,2611 EM Delft (Centrum),Price on request,20 m²,1 room,Upholstered or furnished
Flat Vrouwjuttenland 34,2611 LC Delft (Centrum-Oost),"€1,478 per month",42 m²,2 rooms,Upholstered or furnished
Flat Noordeinde,2611 KJ Delft (Centrum-West),"€1,800 per month",75 m²,2 rooms,Upholstered or furnished
Flat Oude Delft,2611 BA Delft (Centrum-Zuidwest),"€1,050 per month",35 m²,2 rooms,Upholstered or furnished
Flat Adama van Scheltemaplein,2624 PH Delft (Aart van der Leeuwbuurt),"€1,870 per month",92 m²,2 rooms,Upholstered
House Waterloop 34,2614 XC Delft (Hoornse Hof),"€2,650 per month",160 m²,6 rooms,Upholstered
House Hopstraat,2611 TA Delft (Centrum-Zuidoost),"€1,240 per month",47 m²,2 rooms,Upholstered or furnished
Flat Koornmarkt,2611 EB Delft (Centrum),"€2,500 per month",100 m²,3 rooms,Upholstered or furnished
Flat Knuttelstraat,2613 XX Delft (Agnetaparkbuurt),"€1,900 per month",80 m²,4 rooms,Upholstered or furnished
Flat Oostsingel 53 B,2612 HD Delft (Koepoort),"€2,750 per month",110 m²,4 rooms,Upholstered
House Buitenwatersloot 42,2613 ST Delft (Olofsbuurt),"€1,150 per month",35 m²,2 rooms,Upholstered or furnished
Flat Raam,2611 WP Delft (Centrum-Oost),"€2,150 per month",86 m²,3 rooms,Upholstered or furnished
Flat Van Leeuwenhoekpark,2611 DW Delft (Stationsbuurt),"€2,200 per month",69 m²,2 rooms,Upholstered or furnished
Flat Buitenwatersloot,2613 TA Delft (Westerkwartier),"€4,000 per month",156 m²,5 rooms,Upholstered or furnished
House Glaskloksingel,2614 SJ Delft (Den Hoorn),"€2,500 per month",173 m²,5 rooms,Upholstered or furnished
Flat Oostsingel,2612 HL Delft (Indische Buurt-Zuid),"€2,500 per month",130 m²,3 rooms,Upholstered or furnished
