Name,Location,Price,Area,Rooms,Interior
House Oog in 't Zeilstraat,2512 CC Den Haag (Zuidwal),"€3,995 per month",149 m²,6 rooms,Upholstered
Flat Gevers Deynootweg,2586 BK Den Haag (Scheveningen Badplaats),"€2,695 per month",93 m²,2 rooms,Furnished
Flat Palaceplein 198,2587 WK Den Haag (Belgisch Park),"€2,250 per month",90 m²,3 rooms,Upholstered
Flat Kettingstraat,2511 AM Den Haag (Zuidwal),"€2,500 per month",141 m²,3 rooms,Shell
Flat Benoordenhoutseweg 249 A,2596 BH Den Haag (Uilennest),"€2,500 per month",125 m²,5 rooms,
Flat Segbroeklaan,2565 DK Den Haag (Bloemenbuurt-Oost),"€1,995 per month",110 m²,5 rooms,Upholstered
Flat 1e Lulofsdwarsstraat 6 R,2521 AZ Den Haag (Laakhaven-West),"€1,059 per month",50 m²,2 rooms,Upholstered
Flat Jacob van der Doesstraat,2518 XM Den Haag (Zeeheldenkwartier),"€2,200 per month",70 m²,3 rooms,Furnished
Flat Breitnerlaan 297,2596 HA Den Haag (Uilennest),"€1,850 per month",96 m²,3 rooms,Upholstered
Flat Gevers Deynootplein 164,2586 CS Den Haag (Scheveningen Badplaats),"€2,980 per month",130 m²,4 rooms,Furnished
Flat Spui,2511 BP Den Haag (Uilebomen),"€1,179 per month",36 m²,2 rooms,Upholstered
Flat Begoniastraat 206,2565 ST Den Haag (Bloemenbuurt-Oost),"€2,350 per month",105 m²,4 rooms,Furnished
Flat Scheepersstraat,2572 AP Den Haag (Transvaalkwartier-Midden),"€1,300 per month",63 m²,2 rooms,Upholstered
Flat Prinsegracht,2512 EX Den Haag (Kortenbos),Price on request,55 m²,2 rooms,Upholstered
House Graafschap Hollandlaan 27,2553 MC Den Haag (Kraayenstein en Vroondaal),"€3,900 per month",166 m²,7 rooms,Upholstered
Flat Tasmanstraat 212 A,2518 VT Den Haag (Sweelinckplein en omgeving),"€2,495 per month",83 m²,3 rooms,
Flat Edisonstraat 78,2561 BH Den Haag (Valkenboskwartier),"€2,650 per month",110 m²,4 rooms,Furnished
Flat Luxemburgstraat,2552 RC Den Haag (Kom Loosduinen),"€1,800 per month",121 m²,5 rooms,Upholstered
Flat Waldeck Pyrmontkade,2518 JV Den Haag (Sweelinckplein en omgeving),"€1,750 per month",91 m²,3 rooms,Upholstered
Flat 1e Sweelinckstraat 76 C,2517 GG Den Haag (Sweelinckplein en omgeving),"€2,275 per month",95 m²,3 rooms,Furnished
Flat Amsterdamse Veerkade,2512 AG Den Haag (Zuidwal),"€1,008 per month",40 m²,2 rooms,Upholstered
Flat Van Boecopkade,2518 LC Den Haag (Rond de Energiecentrale),"€1,335 per month",30 m²,1 room,Furnished
Flat Esperantostraat,2518 LJ Den Haag (Rond de Energiecentrale),"€1,335 per month",30 m²,1 room,Furnished
Flat Schoutenstraat,2596 SK Den Haag (Waalsdorp),"€2,550 per month",108 m²,3 rooms,Upholstered
Flat Menninckstraat 2 bis7,2583 BR Den Haag (Vissershaven),"€2,400 per month",50 m²,2 rooms,Furnished
Flat Laakweg,2521 SC Den Haag (Laakhaven-Oost),"€1,155 per month",48 m²,2 rooms,Shell
Flat Parelmoerhorst 72,2592 SG Den Haag (Burgen en Horsten),"€1,070 per month",82 m²,3 rooms,
Flat Junostraat,2516 BR Den Haag (Binckhorst),"€2,200 per month",128 m²,4 rooms,Furnished
Flat Leuvensestraat,2587 GA Den Haag (Belgisch Park),"€3,250 per month",142 m²,4 rooms,Upholstered
Flat Stuyvesantstraat 160,2593 GR Den Haag (Bezuidenhout-Oost),"€2,250 per month",90 m²,4 rooms,Upholstered
Flat Regentesselaan 183,2562 CX Den Haag (Rond de Energiecentrale),€723 per month,30 m²,2 rooms,Upholstered
Flat Weimarstraat 120 D,2562 HC Den Haag (Koningsplein en omgeving),€843 per month,32 m²,2 rooms,Upholstered
Flat Regentesselaan 183 E,2562 CX Den Haag (Rond de Energiecentrale),€631 per month,21 m²,1 room,Upholstered
Flat 1e De Riemerstraat,2513 CV Den Haag (Zeeheldenkwartier),€850 per month,40 m²,2 rooms,Upholstered
Flat Laan van Meerdervoort,2555 CM Den Haag (Componistenbuurt),"€2,250 per month",85 m²,3 rooms,Furnished
Studio Indigostraat,2563 RJ Den Haag (Heesterbuurt),€720 per month,23 m²,2 rooms,Furnished
Flat Groot Hertoginnelaan,2517 ED Den Haag (Stadhoudersplantsoen),€848 per month,35 m²,1 room,Shell
Flat Van Lumeystraat,2581 XA Den Haag (Geuzenkwartier),"€2,995 per month",125 m²,3 rooms,Furnished
Flat Weimarstraat 105,2562 GS Den Haag (Koningsplein en omgeving),"€2,995 per month",150 m²,6 rooms,Upholstered
Flat Van Loostraat 65,2582 XA Den Haag (Statenkwartier),"€2,350 per month",125 m²,4 rooms,Upholstered
Flat Anne Frankstraat,2548 LA Den Haag (Erasmus Veld),"€1,245 per month",69 m²,3 rooms,
Flat Anne Frankstraat,2548 LA Den Haag (Erasmus Veld),"€1,134 per month",59 m²,3 rooms,
Flat Laan van Nieuw-Oost-Indië 14 F,2593 BT Den Haag (Bezuidenhout-Oost),"€2,500 per month",87 m²,3 rooms,Furnished
Flat Laan van Nieuw-Oost-Indië 14 D,2593 BT Den Haag (Bezuidenhout-Oost),"€2,250 per month",74 m²,3 rooms,Upholstered
Flat Hellingweg 22,2583 WG Den Haag (Vissershaven),"€2,350 per month",78 m²,2 rooms,Furnished
Flat Theresiastraat 111 A,2593 AD Den Haag (Bezuidenhout-Midden),"€1,995 per month",86 m²,2 rooms,Furnished
Flat Hellingweg 16 B,2583 WG Den Haag (Vissershaven),"€2,250 per month",70 m²,2 rooms,Furnished
Flat Valkenboskade 631,2563 JG Den Haag (Bomenbuurt),"€3,950 per month",180 m²,6 rooms,Upholstered
House Hart Nibbrigkade,2597 XX Den Haag (Uilennest),"€2,695 per month",113 m²,3 rooms,Furnished
Flat De Ruijterstraat 33,2518 AN Den Haag (Zeeheldenkwartier),"€4,750 per month",220 m²,4 rooms,Furnished
Flat 1e Lulofsdwarsstraat 8,2521 AZ Den Haag (Laakhaven-West),"€1,002 per month",39 m²,1 room,Upholstered
Flat Escamplaan 744,2547 EV Den Haag (Leyenburg),"€1,450 per month",82 m²,4 rooms,
Flat Huijgenspark,2515 BB Den Haag (Huygenspark),"€2,494 per month",146 m²,4 rooms,Furnished
Flat Dirk Hoogenraadstraat,2586 TN Den Haag (Scheveningen Badplaats),€349 per month,12 m²,1 room,Upholstered
Room Dirk Hoogenraadstraat,2586 TN Den Haag (Scheveningen Badplaats),€591 per month,20 m²,1 room,Upholstered
Flat 1e Lulofsdwarsstraat 6 L,2521 AZ Den Haag (Laakhaven-West),"€1,750 per month",73 m²,3 rooms,
Flat Prins Willem-Alexanderweg 169,2595 BT Den Haag (Bezuidenhout-West),"€2,750 per month",134 m²,3 rooms,Upholstered
Flat Goeverneurlaan,2523 BP Den Haag (Laakkwartier-Oost),"€2,000 per month",95 m²,4 rooms,Shell
Flat Archimedesstraat,2517 RX Den Haag (Sweelinckplein en omgeving),"€3,250 per month",175 m²,4 rooms,Furnished
Flat Van Neckstraat 102,2597 SH Den Haag (Duinzigt),"€3,500 per month",124 m²,5 rooms,Upholstered
Flat Badhuisweg,2587 CG Den Haag (Belgisch Park),"€2,550 per month",90 m²,3 rooms,Furnished
Studio Esperantostraat,2518 LJ Den Haag (Rond de Energiecentrale),"€1,335 per month",30 m²,1 room,Furnished
Flat Van Boecopkade,2518 LC Den Haag (Rond de Energiecentrale),"€1,335 per month",30 m²,1 room,Furnished
Flat Anna van Buerenplein 232,2595 DE Den Haag (Rivierenbuurt-Noord),"€3,250 per month",101 m²,3 rooms,Upholstered or furnished
Flat Van Musschenbroekstraat,2522 AH Den Haag (Laakkwartier-Oost),"€1,150 per month",79 m²,4 rooms,Upholstered
Flat 1e Lulofsdwarsstraat 16 G,2521 AZ Den Haag (Laakhaven-West),"€1,850 per month",79 m²,3 rooms,Upholstered
House Ellertsveldlaan 99,2548 ND Den Haag (Hoge Veld),"€3,000 per month",170 m²,6 rooms,Upholstered
Flat Groot Hertoginnelaan,2517 EX Den Haag (Sweelinckplein en omgeving),"€2,850 per month",124 m²,5 rooms,Upholstered
Flat Deltapromenade 419,2554 GX Den Haag (Kijkduin),"€2,750 per month",97 m²,3 rooms,Upholstered
Flat Wassenaarseweg 39 A,2596 CG Den Haag (Nassaubuurt),"€2,050 per month",88 m²,3 rooms,Upholstered
Flat Wilhelminastraat,2595 EM Den Haag (Bezuidenhout-Midden),"€1,750 per month",92 m²,4 rooms,
Flat Kettingstraat,2511 AM Den Haag (Zuidwal),"€3,300 per month",250 m²,4 rooms,Upholstered or furnished
Flat Hooikade,2514 BH Den Haag (Voorhout),Price on request,109 m²,3 rooms,Furnished
