Name,Location,Price,Area,Rooms,Interior
Flat Marnixstraat,1016 XX Amsterdam (Jordaan),"€2,575 per month",63 m²,3 rooms,Upholstered
Flat Maasstraat 99 2,1078 HG Amsterdam (Scheldebuurt),"€3,000 per month",85 m²,3 rooms,Furnished
Flat Céramiquelaan,1031 KG Amsterdam (Noordelijke IJ-oevers-West),"€3,765 per month",117 m²,4 rooms,Furnished
Flat Korte Meerhuizenstraat,1078 TL Amsterdam (IJselbuurt),"€2,700 per month",67 m²,3 rooms,
Flat Gustav Mahlerlaan 23 L,1082 MK Amsterdam (Zuidas),"€2,400 per month",40 m²,2 rooms,
Flat Kruysweerstraat,1096 GN Amsterdam (Omval/Overamstel),"€2,450 per month",60 m²,2 rooms,Upholstered
Flat Johannes Verhulststraat,1075 HC Amsterdam (Willemspark),"€3,450 per month",75 m²,4 rooms,Furnished
Flat Reestraat 26 1,1016 DN Amsterdam (Grachtengordel-West),"€3,000 per month",55 m²,2 rooms,
Flat Valeriusstraat,1075 GM Amsterdam (Willemspark),"€3,350 per month",85 m²,3 rooms,Furnished
Flat Weteringschans 84 F,1017 XR Amsterdam (De Weteringschans),"€4,750 per month",135 m²,3 rooms,Furnished
Flat Venetiëhof,1019 NA Amsterdam (Oostelijk Havengebied),"€2,350 per month",94 m²,2 rooms,Furnished
Flat J.H. Hisgenpad 317,1025 WK Amsterdam (Elzenhagen),"€2,300 per month",67 m²,3 rooms,Upholstered
Flat Eerste Boerhaavestraat,1091 RZ Amsterdam (Weesperzijde),"€2,450 per month",52 m²,2 rooms,Furnished
Flat Frans van Mierisstraat 96 2,1071 RZ Amsterdam (Museumkwartier),"€3,250 per month",68 m²,3 rooms,Furnished
Flat Boerhaaveplein,1091 DS Amsterdam (Oosterparkbuurt),"€2,400 per month",90 m²,3 rooms,Furnished
House Zennehof 23,1066 WT Amsterdam (Sloten/Nieuw-Sloten),"€2,750 per month",120 m²,4 rooms,Furnished
Flat Preangerstraat 7 F,1095 GZ Amsterdam (Indische Buurt-Oost),"€1,695 per month",96 m²,3 rooms,
Flat Laagte Kadijk,1018 BA Amsterdam (Oostelijke Eilanden/Kadijken),"€2,450 per month",50 m²,2 rooms,Furnished
Flat Valkenburgerstraat,1011 NC Amsterdam (Nieuwmarkt/Lastage),"€3,150 per month",88 m²,3 rooms,Furnished
Flat Elandsgracht,1016 TW Amsterdam (Jordaan),"€3,250 per month",115 m²,3 rooms,Furnished
Flat Korte De Wittenstraat,1052 DG Amsterdam (Staatsliedenbuurt),"€2,950 per month",78 m²,3 rooms,Furnished
Flat Rustenburgerstraat 408 4,1072 HH Amsterdam (Nieuwe Pijp),"€2,850 per month",72 m²,2 rooms,Furnished
Flat Sarphatistraat,1018 GH Amsterdam (Weesperbuurt/Plantage),"€1,800 per month",61 m²,2 rooms,Upholstered
Flat Mercatorplein,1057 BX Amsterdam (Hoofdweg e.o.),Price on request,65 m²,2 rooms,Furnished
Flat Prinsengracht 630 A,1017 KT Amsterdam (De Weteringschans),"€1,527 per month",48 m²,2 rooms,Upholstered or furnished
Flat Vossiusstraat,1071 AE Amsterdam (Museumkwartier),"€3,500 per month",110 m²,2 rooms,Upholstered
Flat Alexander Boersstraat,1071 KV Amsterdam (Museumkwartier),"€2,950 per month",85 m²,3 rooms,Upholstered
Flat Van der Palmkade,1051 RL Amsterdam (Staatsliedenbuurt),"€3,250 per month",124 m²,3 rooms,Upholstered or furnished
Flat Sint Luciënsteeg,1012 PM Amsterdam (Burgwallen-Nieuwe Zijde),"€2,675 per month",51 m²,2 rooms,Upholstered or furnished
Flat Tweede Jan Steenstraat,1074 CM Amsterdam (Oude Pijp),"€2,250 per month",60 m²,3 rooms,Upholstered
Flat Vaartstraat,1075 RS Amsterdam (Schinkelbuurt),"€2,500 per month",70 m²,3 rooms,Upholstered
Flat Plantage Doklaan 49,1018 CM Amsterdam (Weesperbuurt/Plantage),"€3,000 per month",86 m²,3 rooms,Furnished
Flat Marnixstraat,1016 XX Amsterdam (Jordaan),"€2,575 per month",63 m²,3 rooms,Upholstered
Flat Karel Klinkenbergstraat 1 M,1061 AH Amsterdam (Overtoomse Veld),"€2,650 per month",76 m²,3 rooms,Furnished
Flat Herengracht,1016 BW Amsterdam (Grachtengordel-West),"€3,500 per month",92 m²,2 rooms,Furnished
Flat Joris van Andringastraat,1055 VV Amsterdam (Landlust),"€2,950 per month",90 m²,4 rooms,Furnished
Flat Overtoom,1054 HH Amsterdam (Vondelparkbuurt),"€3,750 per month",160 m²,4 rooms,Furnished
Flat Rustenburgerstraat,1073 GE Amsterdam (Nieuwe Pijp),"€2,500 per month",60 m²,2 rooms,Furnished
Flat Kerkstraat,1017 GH Amsterdam (Grachtengordel-Zuid),"€3,890 per month",88 m²,3 rooms,
Flat Vespuccistraat,1056 SL Amsterdam (Van Galenbuurt),"€2,575 per month",57 m²,4 rooms,Upholstered
Flat Titus van Rijnstraat 151,1058 GB Amsterdam (Westlandgracht),"€3,450 per month",91 m²,4 rooms,Upholstered
