Name,Location,Price,Area,Rooms,Interior
Flat Wal,5611 GG Eindhoven (Bergen),"€1,700 per month",60 m²,2 rooms,Furnished
House Bordeauxlaan 31,5627 GR Eindhoven (Achtse Barrier-Gunterslaer),"€2,500 per month",128 m²,4 rooms,Upholstered or furnished
Studio Hastelweg,5616 HJ Eindhoven (Engelsbergen),"€1,375 per month",32 m²,1 room,Furnished
Flat Hastelweg,5616 HJ Eindhoven (Engelsbergen),"€1,645 per month",49 m²,2 rooms,Furnished
Flat Pastoor van Arslaan,5622 CK Eindhoven (Barrier),"€1,675 per month",64 m²,3 rooms,Furnished
Flat Jonckbloetlaan,5615 EG Eindhoven (Elzent-Zuid),"€1,384 per month",48 m²,2 rooms,Shell
Room Uiverlaan,5613 AC Eindhoven (Villapark),€620 per month,15 m²,1 room,Upholstered
Flat Jonckbloetlaan,5615 EG Eindhoven (Elzent-Zuid),"€1,545 per month",59 m²,2 rooms,Shell
Flat Keizersgracht,5611 GD Eindhoven (Bergen),"€1,499 per month",37 m²,2 rooms,Furnished
Flat van Pedestraat,5622 BG Eindhoven (Kronehoef),"€1,696 per month",57 m²,2 rooms,Furnished
Flat Hooghuisstraat,5611 GS Eindhoven (Binnenstad),"€2,500 per month",77 m²,4 rooms,Furnished
Flat Krabbendampad,5611 GW Eindhoven (Binnenstad),"€2,500 per month",100 m²,3 rooms,Furnished
Studio Philitelaan 67 81,5617 AM Eindhoven (Strijp S),"€1,517 per month",76 m²,1 room,Upholstered
Flat Nieuwe Fellenoord,5612 KB Eindhoven (Hemelrijken),"€1,700 per month",80 m²,3 rooms,Furnished
Flat Pastoor Sickingstraat,5614 HV Eindhoven (Joriskwartier),"€1,650 per month",80 m²,3 rooms,Upholstered
Flat Jan Heynslaan,5622 KL Eindhoven (Mensfort),"€1,700 per month",50 m²,2 rooms,Furnished
Flat Leostraat,5615 BP Eindhoven (Bloemenplein),"€1,000 per month",36 m²,2 rooms,Upholstered
Flat Hendrik Casimirstraat 29,"5616 BJ Eindhoven (Eliasterrein, Vonderkwartier)","€1,375 per month",80 m²,3 rooms,Furnished
Flat Stationsplein 79,5611 BB Eindhoven (Binnenstad),"€1,850 per month",107 m²,3 rooms,Furnished
Flat Hertogstraat 8,5611 PB Eindhoven (Rochusbuurt),"€1,450 per month",40 m²,2 rooms,Furnished
Flat St Nicasiusstraat 22,5614 CG Eindhoven (Tuindorp),"€1,008 per month",42 m²,2 rooms,Upholstered
Flat Boschdijk 417,5621 JC Eindhoven (Woensel-West),€945 per month,40 m²,2 rooms,Furnished
House Angoulèmehof 19,5627 LH Eindhoven (Achtse Barrier-Gunterslaer),"€1,995 per month",110 m²,3 rooms,Upholstered
Flat Iepenlaan 49,5616 NR Eindhoven (Philipsdorp),"€1,595 per month",49 m²,2 rooms,Upholstered
Room St Antoniusstraat,5616 RT Eindhoven (Philipsdorp),"€1,175 per month",29 m²,1 room,Furnished
Flat Stratumsedijk,5611 NA Eindhoven (Binnenstad),"€1,600 per month",65 m²,2 rooms,Furnished
Flat Stratumsedijk,5611 NA Eindhoven (Binnenstad),"€1,545 per month",64 m²,2 rooms,Furnished
Flat Hastelweg,5616 HJ Eindhoven (Engelsbergen),"€1,645 per month",49 m²,2 rooms,Furnished
Flat Hastelweg,5616 HJ Eindhoven (Engelsbergen),"€1,375 per month",32 m²,2 rooms,Furnished
House Diabellistraat,5654 CS Eindhoven (Rapelenburg),"€2,150 per month",105 m²,4 rooms,Upholstered
Room Venuslaan,5632 HM Eindhoven (Eckart),€700 per month,16 m²,1 room,Furnished
Flat Meerwater,5658 LP Eindhoven (Meerrijk),"€1,925 per month",83 m²,3 rooms,Upholstered
Flat Hoogstraat 12 B,5611 JR Eindhoven (Bergen),"€1,695 per month",47 m²,3 rooms,Furnished
