Name,Location,Price,Area,Rooms,Interior,City,price,Property_type
Flat Theodora Eigemanpad,2625 DZ Delft (Reinier de Graafbuurt),1619,89,3,1,Delft,1619,Apartment
Flat Martinus Nijhofflaan,2624 MH Delft (Poptahof-Zuid),1695,76,3,1,Delft,1695,Apartment
House Laan van Van der Gaag,2627 BS Delft (Delftzicht),2400,97,4,2,Delft,2400,House
Flat Kromstraat,2611 ER Delft (Centrum),1265,70,2,1,Delft,1265,Apartment
Flat Arthur van Schendelplein 173,2624 CX Delft (Voorhof-Hoogbouw),1495,94,4,1,Delft,1495,Apartment
Studio Derde Werelddreef,2622 HD Delft (Aziëbuurt),979,30,1,1,Delft,979,Studio
Flat Delflandplein,2624 GD Delft (Roland Holstbuurt),830,28,1,1,Delft,830,Apartment
Flat Aart van der Leeuwlaan 1010,2624 MA Delft (Aart van der Leeuwbuurt),2295,92,3,2,Delft,2295,Apartment
Flat Mercuriusweg 145,2624 BC Delft (Mythologiebuurt),1450,65,2,1,Delft,1450,Apartment
House Prof. Bosschastraat 35,2628 HL Delft (Wippolder-Zuid),2575,134,6,1,Delft,2575,House
Flat Oude Delft 128,2611 CG Delft (Centrum),2000,100,2,2,Delft,2000,Apartment
Flat C. Fockstraat,2613 DJ Delft (Ministersbuurt-Oost),2750,80,4,1,Delft,2750,Apartment
Flat Arthur van Schendelplein 43,2624 CP Delft (Voorhof-Hoogbouw),1495,94,4,1,Delft,1495,Apartment
Flat Röntgenweg,2624 BE Delft (Mythologiebuurt),1265,74,3,1,Delft,1265,Apartment
House Trompetstraat,2611 KN Delft (Centrum-Oost),1350,70,3,2,Delft,1350,House
Flat Arthur van Schendelplein 190,2624 CZ Delft (Voorhof-Hoogbouw),1525,94,4,1,Delft,1525,Apartment
Flat Delflandplein,2624 GD Delft (Roland Holstbuurt),1048,47,2,1,Delft,1048,Apartment
Flat Arthur van Schendelplein 184,2624 CZ Delft (Voorhof-Hoogbouw),1595,94,4,1,Delft,1595,Apartment
Flat J.J. Slauerhofflaan,2624 JV Delft (Roland Holstbuurt),2250,116,3,1,Delft,2250,Apartment
Flat Noordeinde,2611 KE Delft (Centrum-West),1870,65,3,2,Delft,1870,Apartment
Flat Noordeinde,2611 KE Delft (Centrum-West),1470,65,3,1,Delft,1470,Apartment
House Yperstraat,2611 SH Delft (In de Veste),3450,114,3,2,Delft,3450,House
House Lambrecht van Linschotenstraat 6,2614 JZ Delft (Marlot),2700,123,5,1,Delft,2700,House
Flat Koornmarkt 16 H,2611 EE Delft (Centrum),3150,62,2,1,Delft,3150,Apartment
House Insulindeweg 268,2612 EN Delft (Indische Buurt-Zuid),2150,128,4,1,Delft,2150,House
House Donkerstraat 8,2611 TG Delft (Centrum-Zuidoost),1550,55,1,1,Delft,1550,House
Flat Tweemolentjeskade,2612 XZ Delft (Bomenwijk),1650,63,3,1,Delft,1650,Apartment
Flat Tweemolentjeskade,2612 XZ Delft (Bomenwijk),1310,42,2,1,Delft,1310,Apartment
Flat Tweemolentjeskade,2612 XZ Delft (Bomenwijk),1296,39,2,1,Delft,1296,Apartment
Flat Tweemolentjeskade,2612 XZ Delft (Bomenwijk),1550,59,2,1,Delft,1550,Apartment
Flat Tweemolentjeskade,2612 XZ Delft (Bomenwijk),1320,43,2,1,Delft,1320,Apartment
Flat Tweemolentjeskade,2612 XZ Delft (Bomenwijk),1700,65,3,1,Delft,1700,Apartment
Flat Tweemolentjeskade,2612 XZ Delft (Bomenwijk),1600,61,3,1,Delft,1600,Apartment
Flat Arthur van Schendelplein 87,2624 CS Delft (Voorhof-Hoogbouw),1655,94,4,1,Delft,1655,Apartment
House Noordeinde,2611 KH Delft (Centrum-West),3400,139,4,1,Delft,3400,House
Flat Noordeinde,2611 KE Delft (Centrum-West),2145,62,2,2,Delft,2145,Apartment
Flat Brabantse Turfmarkt 47 2,2611 CL Delft (Centrum),933,25,1,1,Delft,933,Apartment
Flat Brabantse Turfmarkt 47 1,2611 CL Delft (Centrum),2800,75,3,1,Delft,2800,Apartment
Flat Noordeinde 28 1,2611 KJ Delft (Centrum-West),1700,43,1,1,Delft,1700,Apartment
Flat Noordeinde 28 2,2611 KJ Delft (Centrum-West),1700,43,1,1,Delft,1700,Apartment
Flat Brabantse Turfmarkt,2611 CP Delft (Centrum),1600,40,3,1,Delft,1600,Apartment
Flat Koornmarkt 16,2611 EE Delft (Centrum),2150,55,1,2,Delft,2150,Apartment
Flat Vrouwjuttenland 34,2611 LC Delft (Centrum-Oost),1478,42,2,1,Delft,1478,Apartment
Flat Noordeinde,2611 KJ Delft (Centrum-West),1800,75,2,1,Delft,1800,Apartment
Flat Oude Delft,2611 BA Delft (Centrum-Zuidwest),1050,35,2,1,Delft,1050,Apartment
Flat Adama van Scheltemaplein,2624 PH Delft (Aart van der Leeuwbuurt),1870,92,2,1,Delft,1870,Apartment
