Name,Location,Price,Area,Rooms,Interior
Flat Müllerkade,3024 EP Rotterdam (Schiemond),"€1,895 per month",65 m²,3 rooms,Upholstered
Flat G.H. Betzweg,3068 AZ Rotterdam (Oosterflank),"€1,415 per month",56 m²,2 rooms,Furnished
Room Westblaak,3012 KC Rotterdam (Cool),€467 per month,16 m²,1 room,Furnished
Room Ackersdijkstraat,3037 VK Rotterdam (Liskwartier),€944 per month,15 m²,1 room,Upholstered or furnished
Flat Weena,3013 AL Rotterdam (Cs Kwartier),"€2,500 per month",135 m²,5 rooms,Upholstered
Flat Hartmansstraat,3012 VA Rotterdam (Cool),"€1,500 per month",57 m²,3 rooms,Furnished
Flat Boompjes 54 C,3011 XB Rotterdam (Stadsdriehoek),"€2,395 per month",81 m²,3 rooms,Upholstered
House Tochtenweg,3069 XZ Rotterdam (Zevenkamp),"€2,450 per month",98 m²,5 rooms,Furnished
Flat Aernt Bruunstraat,3067 JC Rotterdam (Het Lage Land),€966 per month,86 m²,3 rooms,Shell
Flat Pleinweg,3081 JN Rotterdam (Tarwewijk),"€1,418 per month",68 m²,4 rooms,Upholstered
Flat Jaap van der Hoekplaats,3067 AD Rotterdam (Het Lage Land),"€1,950 per month",53 m²,2 rooms,Upholstered
Flat Schiedamseweg Beneden 495 B,3028 BP Rotterdam (Oud Mathenesse),"€1,950 per month",125 m²,4 rooms,Shell
Flat Statenweg,3039 HH Rotterdam (Blijdorp),"€2,350 per month",130 m²,4 rooms,Furnished
Flat Crooswijksesingel,3034 CH Rotterdam (Rubroek),"€2,317 per month",97 m²,2 rooms,Furnished
Flat Kruisplein 620,3012 CC Rotterdam (Cool),"€2,695 per month",89 m²,3 rooms,Furnished
Flat Adriaan Kooningsstraat 37,3077 ML Rotterdam (Oud IJsselmonde),"€2,100 per month",100 m²,4 rooms,Furnished
Flat Kapelstraat 83,3024 CH Rotterdam (Delfshaven),"€2,045 per month",103 m²,3 rooms,
Flat G.H. Betzweg,3068 AZ Rotterdam (Oosterflank),"€1,340 per month",46 m²,2 rooms,Furnished
Studio Westblaak,3012 KC Rotterdam (Cool),€740 per month,24 m²,2 rooms,Furnished
Flat Geertsemastraat,3038 XA Rotterdam (Bergpolder),"€2,275 per month",92 m²,4 rooms,Upholstered
Flat Karel Doormanstraat,3012 GD Rotterdam (Cool),"€2,600 per month",85 m²,3 rooms,Furnished
Flat Westplein,3016 BM Rotterdam (Nieuwe Werk),"€2,623 per month",83 m²,2 rooms,Upholstered or furnished
Flat Wilgenplaslaan,3052 SL Rotterdam (Schiebroek),"€1,595 per month",64 m²,3 rooms,
Flat 's-Gravendijkwal,3021 EC Rotterdam (Middelland),"€2,250 per month",87 m²,2 rooms,Upholstered
Flat Wolphaertsbocht,3083 MR Rotterdam (Carnisse),"€1,113 per month",50 m²,2 rooms,Upholstered
Flat Middelharnisstraat,3086 GH Rotterdam (Pendrecht),€995 per month,57 m²,3 rooms,
Flat Van Vollenhovenstraat 33 B,3016 BG Rotterdam (Nieuwe Werk),"€3,250 per month",100 m²,3 rooms,Furnished
Flat Noordschans,3026 VZ Rotterdam (Tussendijken),"€1,061 per month",60 m²,3 rooms,Upholstered
Flat Noordschans,3026 VZ Rotterdam (Tussendijken),"€1,137 per month",60 m²,3 rooms,Upholstered
Room Schieweg,3038 AX Rotterdam (Bergpolder),€570 per month,14 m²,1 room,Upholstered
Flat Westblaak,3012 KE Rotterdam (Cool),"€1,980 per month",78 m²,3 rooms,Upholstered
Flat Müllerkade,3024 EP Rotterdam (Schiemond),"€1,895 per month",65 m²,3 rooms,Upholstered
Flat Haagseveer,3011 DA Rotterdam (Stadsdriehoek),"€2,450 per month",100 m²,4 rooms,Upholstered
Flat Laan op Zuid 1420,3071 AC Rotterdam (Kop van Zuid - Entrepot),"€2,150 per month",82 m²,3 rooms,Upholstered
Flat Pampuskade,3077 ZK Rotterdam (Oud IJsselmonde),"€1,535 per month",74 m²,3 rooms,Shell
Flat Galvanistraat,3029 AD Rotterdam (Nieuw Mathenesse),"€1,866 per month",106 m²,3 rooms,Furnished
Flat 1e Middellandstraat,3021 BE Rotterdam (Middelland),"€1,700 per month",43 m²,3 rooms,Upholstered
Flat Nieuwe Binnenweg,3014 GG Rotterdam (Oude Westen),"€2,155 per month",107 m²,4 rooms,Upholstered
Flat Kruisplein,3012 CC Rotterdam (Cool),"€2,350 per month",68 m²,2 rooms,Furnished
Flat Wijnhaven,3011 WH Rotterdam (Stadsdriehoek),"€3,000 per month",144 m²,4 rooms,Furnished
Flat Boompjes,3011 XZ Rotterdam (Stadsdriehoek),"€2,000 per month",60 m²,2 rooms,Furnished
Flat Westzeedijk 509 K,3024 EL Rotterdam (Delfshaven),"€1,523 per month",78 m²,3 rooms,
Flat Grotemarkt,3011 PA Rotterdam (Stadsdriehoek),"€3,500 per month",125 m²,4 rooms,Furnished
Flat Willem Molenbroekplein,3071 MK Rotterdam (Kop van Zuid),"€2,150 per month",87 m²,3 rooms,Furnished
Flat Palladiostraat,3066 AH Rotterdam (Prinsenland),"€1,145 per month",56 m²,3 rooms,
Flat Jufferstraat 21 M,3011 XL Rotterdam (Stadsdriehoek),"€1,900 per month",62 m²,2 rooms,Upholstered
Flat Mijnsherenlaan,3081 CK Rotterdam (Tarwewijk),"€1,800 per month",91 m²,3 rooms,
Flat Rochussenstraat 289 C,3023 DE Rotterdam (Nieuwe Westen),"€2,150 per month",116 m²,5 rooms,Upholstered
