Name,Location,Price,Area,Rooms,Interior
Studio Donkersgang,9711 NM Groningen (Binnenstad-Zuid),€940 per month,27 m²,1 room,Upholstered
Room Visserstraat 27 a 3,9712 CS Groningen (Binnenstad-Noord),€524 per month,11 m²,1 room,
Studio Celebesstraat 25 a 2,9715 JB Groningen (Indische buurt),€519 per month,15 m²,1 room,
Flat Verlengde Nieuwstraat,9724 HD Groningen (Oosterpoort),"€1,795 per month",74 m²,3 rooms,Upholstered
Flat Haddingestraat,9711 KE Groningen (Binnenstad-Zuid),"€1,200 per month",28 m²,1 room,
Flat Bordewijklaan,9721 WD Groningen (De Wijert-Zuid),"€1,111 per month",60 m²,2 rooms,Upholstered
Room Noorderstationsstraat,9717 KN Groningen (Noorderplantsoenbuurt),€525 per month,18 m²,1 room,Shell
Room Noorderstationsstraat,9717 KN Groningen (Noorderplantsoenbuurt),€525 per month,20 m²,1 room,Shell
House Pelikaanstraat,9713 BW Groningen (Vogelbuurt),"€1,500 per month",115 m²,5 rooms,Shell
House Pelikaanstraat,9713 BW Groningen (Vogelbuurt),"€1,500 per month",115 m²,5 rooms,Upholstered
Flat Damsterdiep,9713 EB Groningen (Damsterbuurt),"€1,008 per month",71 m²,3 rooms,Furnished
Room Coendersweg,9722 GE Groningen (Helpman),€557 per month,10 m²,5 rooms,Upholstered
Flat Jullensstraat 361,9721 BK Groningen (Helpman),"€1,268 per month",50 m²,2 rooms,
Flat Jullensstraat 367,9721 BK Groningen (Helpman),"€1,260 per month",50 m²,2 rooms,
Flat Jullensstraat 5,9721 BK Groningen (Helpman),"€1,800 per month",97 m²,3 rooms,
Flat Bloemstraat,9712 LD Groningen (Hortusbuurt-Ebbingekwartier),€993 per month,26 m²,2 rooms,Upholstered
Flat Friesestraatweg,9743 AE Groningen (Friesestraatweg),"€1,545 per month",114 m²,4 rooms,
Flat Tweede Drift Spilsluizen 6,9712 GV Groningen (Binnenstad-Noord),"€1,111 per month",60 m²,3 rooms,
Flat Bloemstraat 12 c,9712 LD Groningen (Hortusbuurt-Ebbingekwartier),"€1,250 per month",29 m²,2 rooms,
Room Peizerweg,9726 JL Groningen (Zeeheldenbuurt),€695 per month,14 m²,1 room,
Flat Pottebakkersrijge,9718 AE Groningen (Binnenstad-West),"€1,700 per month",64 m²,1 room,Upholstered
Flat Donderslaan,9728 KW Groningen (Corpus den Hoorn),"€1,400 per month",78 m²,3 rooms,Upholstered
Flat Korreweg,9715 AL Groningen (Indische buurt),"€1,175 per month",60 m²,2 rooms,Upholstered
Room Hofstraat 13 B 2,9712 JA Groningen (Binnenstad-Noord),€530 per month,29 m²,2 rooms,
Room Hoornsediep 46 A 1,9725 HL Groningen (Rivierenbuurt),€540 per month,14 m²,1 room,
Flat Grote Markt 5 c,9712 HN Groningen (Binnenstad-Noord),"€1,063 per month",38 m²,2 rooms,
Flat Gorechtkade,9713 BC Groningen (Gorechtbuurt),"€1,695 per month",77 m²,6 rooms,Furnished
House Eilardaheerd 36,9736 BC Groningen (Beijum-Oost),"€1,450 per month",108 m²,5 rooms,Upholstered
Flat Vismarkt,9712 CA Groningen (Binnenstad-Noord),"€1,414 per month",45 m²,3 rooms,Upholstered
Room Gratamastraat,9714 HN Groningen (Professorenbuurt),€641 per month,20 m²,1 room,Upholstered
Flat Wipstraat,9712 LW Groningen (Hortusbuurt-Ebbingekwartier),"€1,150 per month",56 m²,2 rooms,Upholstered
Flat Wipstraat,9712 LW Groningen (Hortusbuurt-Ebbingekwartier),"€1,045 per month",25 m²,1 room,Upholstered
Flat Geulstraat,9725 CH Groningen (Rivierenbuurt),€370 per month,12 m²,1 room,Shell
Flat Blekerstraat,9718 EB Groningen (Schildersbuurt),"€2,000 per month",125 m²,2 rooms,Furnished
Room Star Numanstraat,9714 JR Groningen (Professorenbuurt),€640 per month,16 m²,1 room,Upholstered
Flat Grote Markt 5 n,9712 HN Groningen (Binnenstad-Noord),"€1,000 per month",35 m²,2 rooms,
Flat Herestraat,9711 LG Groningen (Binnenstad-Zuid),"€1,375 per month",43 m²,2 rooms,
Room Aweg 11 a,9718 CT Groningen (Schildersbuurt),€680 per month,919 m²,1 room,
Flat Wagnersingel,9722 CV Groningen (Helpman),"€1,895 per month",130 m²,4 rooms,Furnished
House Bonairestraat,9715 SB Groningen (Indische buurt),"€1,695 per month",102 m²,5 rooms,Upholstered
Room J.C. Kapteynlaan 30 A 1,9714 CR Groningen (Professorenbuurt),€511 per month,16 m²,1 room,
Flat M.K. Gandhiplein,9728 TH Groningen (Hoornse Meer),"€1,800 per month",93 m²,3 rooms,Upholstered or furnished
Room Westersingel,9718 CA Groningen (Binnenstad-West),€695 per month,11 m²,1 room,
Flat Molukkenstraat,9715 NV Groningen (Indische buurt),"€1,116 per month",25 m²,1 room,
House Menadostraat,9715 KZ Groningen (Indische buurt),€384 per month,47 m²,2 rooms,Shell
Flat Stalstraat,9712 ES Groningen (Binnenstad-Noord),"€2,470 per month",99 m²,3 rooms,
Room Korreweg,9714 AK Groningen (Professorenbuurt),€500 per month,11 m²,1 room,
Flat Jullensstraat 385,9721 BK Groningen (Helpman),"€1,350 per month",61 m²,3 rooms,
Flat Mozartstraat 40 a,9722 ED Groningen (Helpman),"€1,500 per month",70 m²,4 rooms,
House Oosterhamrikkade,9713 KC Groningen (Vogelbuurt),"€1,034 per month",54 m²,2 rooms,
Flat Coendersweg 29 a,9722 GB Groningen (Helpman),€825 per month,19 m²,1 room,
House Kajuit,9733 CH Groningen (Lewenborg-Noord),"€1,300 per month",95 m²,5 rooms,
Studio Hoogeweg 1 45,9746 TN Groningen (Reitdiep),"€1,115 per month",19 m²,1 room,Furnished
Flat Poelestraat,9711 PK Groningen (Binnenstad-Zuid),"€1,240 per month",60 m²,2 rooms,Upholstered
House Pelikaanstraat,9713 BW Groningen (Vogelbuurt),"€1,595 per month",115 m²,5 rooms,Upholstered
Flat Stalstraat,9712 ES Groningen (Binnenstad-Noord),"€2,050 per month",93 m²,3 rooms,Upholstered
Flat Acacialaan 47,9741 KW Groningen (Selwerd),"€1,650 per month",61 m²,3 rooms,
Room Ambonstraat,9715 HA Groningen (Indische buurt),€771 per month,21 m²,1 room,
Flat Stalstraat,9712 ES Groningen (Binnenstad-Noord),"€2,794 per month",132 m²,3 rooms,Furnished
Room Paterswoldseweg,9727 BG Groningen (Grunobuurt),€685 per month,15 m²,1 room,Upholstered
Room Herman Colleniusstraat 13 8,9718 KP Groningen (Schildersbuurt),€645 per month,19 m²,1 room,
Room Damsterdiep,9713 EK Groningen (Gorechtbuurt),€616 per month,13 m²,1 room,Upholstered
Flat Oosterhamrikkade,9713 KA Groningen (Gorechtbuurt),€926 per month,40 m²,2 rooms,
Room Helper Brink,9722 EG Groningen (Helpman),€585 per month,15 m²,1 room,
Room Jennerstraat,9728 GX Groningen (Corpus den Hoorn),€595 per month,12 m²,1 room,
Room Tweede Hunzestraat,9715 BP Groningen (Indische buurt),€670 per month,14 m²,1 room,
Room Rabenhauptstraat 78 a 1,9725 CG Groningen (Rivierenbuurt),€353 per month,16 m²,1 room,
Flat Entensgang 2,9711 NJ Groningen (Binnenstad-Zuid),"€1,035 per month",48 m²,3 rooms,
Flat Winschoterweg,9723 CG Groningen (Roodehaan),€733 per month,35 m²,2 rooms,Upholstered
Flat Damsterdiep,9711 SK Groningen (Binnenstad-Oost),"€1,800 per month",75 m²,3 rooms,Upholstered
Room Korreweg,9714 AE Groningen (Professorenbuurt),€550 per month,8 m²,1 room,Upholstered
Flat Visserstraat,9712 CS Groningen (Binnenstad-Noord),"€2,300 per month",130 m²,2 rooms,Upholstered
